Age,Industry,Job Title,Annual Salary,Monetary Compensation,Currency,Country of Employment,State (USA),Overall Number of Years of Experience,Number of Years of Experience in Your Field,Highest Level of Education,Gender,Ethnicity
18-24,"Marketing, Advertising & PR",PR Specialist,22000.0,0.0,GBP,England,Outside of the US,1 year or less,1 year or less,College degree,Female,White
35-44,Computing or Tech,DevSecOps Manager,145000.0,0.0,USD,USA,Maryland,21 - 30 years,21 - 30 years,Master's degree,Male,White
35-44,Philanthropy,Program Officer,80000.0,0.0,USD,USA,Maryland,11 - 20 years,5-7 years,Master's degree,Female,White
55-64,Database subscription services,President and CEO,100000.0,7500.0,USD,USA,Pennsylvania,41 years or more,31 - 40 years,Some college,Female,White
25-34,Corporate sustainability ,Policy Analyst,86000.0,0.0,USD,USA,District of Columbia,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,Nonprofits,Cost & Pricing Officer,92000.0,0.0,USD,USA,District of Columbia,8 - 10 years,5-7 years,College degree,Male,White
35-44,Computing or Tech,Web developer,63000.0,0.0,USD,USA,Indiana,11 - 20 years,11 - 20 years,College degree,Male,White
55-64,Education (Higher Education),Lecturer ,43000.0,0.0,GBP,England,Outside of the US,31 - 40 years,2 - 4 years,Master's degree,Female,White
25-34,Nonprofits,Outreach,45000.0,0.0,USD,USA,Arizona,8 - 10 years,5-7 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Business Ops Analyst,77500.0,2000.0,USD,USA,Minnesota,5-7 years,2 - 4 years,College degree,Female,White
25-34,"Accounting, Banking & Finance",Investor Relations Associate,62000.0,8000.0,USD,USA,District of Columbia,2 - 4 years,2 - 4 years,College degree,Female,White
55-64,Law,lawyer (Associate),215000.0,1000.0,USD,USA,"Arizona, California",31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)",Female,White
25-34,Government and Public Administration,Epidemiologist,52000.0,0.0,USD,USA,Florida,2 - 4 years,1 year or less,Master's degree,Female,"Black or African American, Hispanic, Latino, or Spanish origin"
25-34,Education (Primary/Secondary),Assessment Associate,58500.0,0.0,USD,USA,New York,5-7 years,2 - 4 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Human Resources ,41000.0,5000.0,USD,USA,"North Carolina, Utah",2 - 4 years,1 year or less,College degree,Male,Native American or Alaska Native
35-44,Government and Public Administration,Environmental Health Specialist,112000.0,5000.0,USD,USA,California,21 - 30 years,11 - 20 years,College degree,Male,White
25-34,Computing or Tech,Product Manager,132600.0,12000.0,USD,USA,Washington,11 - 20 years,5-7 years,PhD,Female,White
35-44,Oil & gas,Safety Management Consultant,75000.0,2000.0,USD,USA,Texas,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,"Marketing, Advertising & PR",Market Research Manager,85000.0,4000.0,USD,USA,Massachusetts,8 - 10 years,5-7 years,Master's degree,Female,"Black or African American, White"
25-34,Retail,Store manager,42000.0,0.0,USD,USA,Tennessee,11 - 20 years,8 - 10 years,College degree,Male,White
25-34,"Accounting, Banking & Finance",Director,150000.0,0.0,USD,USA,California,5-7 years,5-7 years,Master's degree,Female,White
35-44,Nonprofits,Director of Development,68000.0,0.0,USD,USA,New York,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,"Marketing, Advertising & PR",Marketing Coordinator,42000.0,4000.0,USD,USA,California,2 - 4 years,2 - 4 years,Master's degree,Female,White
35-44,Engineering or Manufacturing,Associate Director of Quality,101000.0,10000.0,USD,USA,Iowa,21 - 30 years,8 - 10 years,College degree,Female,White
35-44,Government and Public Administration,Communications Director ,110000.0,0.0,USD,USA,Massachusetts,21 - 30 years,2 - 4 years,College degree,Male,White
35-44,Engineering or Manufacturing,Project Manager,89440.0,5000.0,CAD,Canada,Outside of the US,11 - 20 years,11 - 20 years,High School,Male,White
35-44,Art & Design,Graphic artist ,89000.0,2000.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,"Accounting, Banking & Finance",Sr. Financial Analyst,74000.0,10000.0,USD,USA,Wisconsin,2 - 4 years,2 - 4 years,College degree,Female,Another option not listed here or prefer not to answer
55-64,Utilities & Telecommunications,Project Coordinator,62000.0,0.0,USD,USA,Washington,21 - 30 years,21 - 30 years,Some college,Female,White
35-44,Government and Public Administration,Quality Services Specialist,55000.0,1500.0,USD,USA,Wisconsin,11 - 20 years,5-7 years,College degree,Female,White
35-44,Computing or Tech,ML/AI Scientist,380000.0,0.0,USD,USA,California,8 - 10 years,2 - 4 years,PhD,Female,Another option not listed here or prefer not to answer
25-34,Nonprofits,Communications Manager,45000.0,1000.0,USD,USA,Wisconsin,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Art & Design,Curator,55000.0,0.0,USD,USA,Missouri,11 - 20 years,5-7 years,PhD,Female,White
25-34,Nonprofits,"Manger, Consumer Programs",60000.0,0.0,USD,USA,District of Columbia,8 - 10 years,8 - 10 years,College degree,Female,White
45-54,Utilities & Telecommunications,Operatons Director,62000.0,0.0,USD,USA,Colorado,21 - 30 years,8 - 10 years,Some college,Female,White
25-34,Education (Primary/Secondary),Managing Director Data Science and Analytics ,115000.0,0.0,USD,USA,Illinois,8 - 10 years,1 year or less,Master's degree,Female,Black or African American
45-54,Property or Construction,Operations manager ,60000.0,0.0,USD,USA,Virginia,21 - 30 years,2 - 4 years,Some college,Female,White
25-34,Computing or Tech,Senior Program Manager,182245.0,13200.0,USD,USA,Washington,11 - 20 years,11 - 20 years,College degree,Male,White
35-44,Nonprofits,Program Coordinator,61125.0,500.0,USD,USA,Kentucky,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Education (Primary/Secondary),Instructional Aide,31435.0,1200.0,USD,USA,Pennsylvania,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",Chief Accountant,78000.0,0.0,USD,USA,Washington,11 - 20 years,8 - 10 years,College degree,Female,White
25-34,Public Libraries,Library Associate,29000.0,0.0,USD,USA,South Carolina,2 - 4 years,2 - 4 years,College degree,Non-binary,White
35-44,"Accounting, Banking & Finance",Managing Director,400000.0,120000.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Education (Primary/Secondary),Ballet teacher,93600.0,0.0,USD,USA,Ohio,8 - 10 years,8 - 10 years,Master's degree,Female,White
35-44,Sales,Account executive ,130000.0,100000.0,USD,USA,Michigan,11 - 20 years,11 - 20 years,Master's degree,Female,White
65 or over,Education (Higher Education),Director,78612.0,0.0,USD,USA,Nebraska,31 - 40 years,31 - 40 years,Master's degree,Female,White
45-54,Education (Higher Education),Professor,67000.0,3000.0,USD,USA,Wisconsin,21 - 30 years,11 - 20 years,PhD,Female,White
35-44,Procurement/Sourcing/Operations ,Sourcing Project Manager,103000.0,0.0,USD,USA,Minnesota,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,Computing or Tech,Software Architect,120000.0,10000.0,CAD,Canada,Outside of the US,21 - 30 years,21 - 30 years,Master's degree,Female,White
35-44,"Accounting, Banking & Finance",Accountant 1,45000.0,0.0,USD,USA,Kansas,5-7 years,5-7 years,College degree,Male,Asian or Asian American
25-34,"Accounting, Banking & Finance",Senior third party risk analyst,100050.0,6000.0,USD,USA,California,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,Law,Career Law Clerk,119600.0,0.0,USD,USA,South Carolina,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Recruitment or HR,HR Advisor,39277.0,312.0,GBP,England,Outside of the US,11 - 20 years,8 - 10 years,Master's degree,Non-binary,White
25-34,Education (Higher Education),Curriculum Designer,65000.0,0.0,USD,USA,Massachusetts,2 - 4 years,31 - 40 years,College degree,Female,White
25-34,Education (Higher Education),Case Manager,85000.0,0.0,USD,USA,Arizona,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Insurance,Automotive Enthusiast Advisor,39300.0,2500.0,USD,USA,Michigan,11 - 20 years,2 - 4 years,College degree,Female,White
25-34,"Accounting, Banking & Finance",Operations Analyst,150000.0,75000.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Female,Asian or Asian American
35-44,Education (Higher Education),"Assistant Director, Operations & Events",55000.0,0.0,USD,USA,Georgia,11 - 20 years,11 - 20 years,Master's degree,Female,Asian or Asian American
35-44,Government and Public Administration,Administrative Support,51454.0,0.0,CAD,Canada,Outside of the US,11 - 20 years,11 - 20 years,Some college,Female,"Native American or Alaska Native, White, Another option not listed here or prefer not to answer"
35-44,Education (Higher Education),Instructor/NTT-Faculty,45000.0,4000.0,USD,USA,Oklahoma,11 - 20 years,21 - 30 years,PhD,Female,White
25-34,Government and Public Administration,Program Specialist,48000.0,0.0,USD,USA,Texas,2 - 4 years,2 - 4 years,College degree,Male,White
35-44,Business or Consulting,Senior Consultant,60000.0,0.0,USD,USA,Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Female,White
45-54,Insurance,Product Coordinator,42000.0,3000.0,USD,USA,Texas,31 - 40 years,11 - 20 years,Master's degree,Male,White
45-54,Recruitment or HR,SVP HR,280000.0,280000.0,USD,USA,Washington,21 - 30 years,21 - 30 years,Master's degree,Female,White
45-54,Law,Partner,312500.0,100000.0,USD,USA,Georgia,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Female,White
25-34,Nonprofits,Development Assistant,38300.0,0.0,USD,USA,Kansas,2 - 4 years,2 - 4 years,College degree,Female,White
18-24,Education (Primary/Secondary),Director of Operations,30000.0,500.0,USD,USA,Oklahoma,2 - 4 years,2 - 4 years,Master's degree,Female,"Native American or Alaska Native, White"
45-54,Government and Public Administration,Contract Manager,79000.0,600.0,USD,USA,Tennessee,21 - 30 years,5-7 years,Master's degree,Female,White
45-54,Health care,Physical Therapist,86000.0,0.0,USD,USA,Maine,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Female,White
25-34,Utilities & Telecommunications,Policy and Technology Specialist,84900.0,8490.0,USD,USA,California,5-7 years,5-7 years,Master's degree,Female,White
35-44,Health care,Front Office Assistant,26250.0,0.0,USD,USA,Virginia,11 - 20 years,1 year or less,Some college,Female,White
25-34,Education (Higher Education),Admissions Advisor,52100.0,0.0,USD,USA,New York,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",Lead Accountant,65000.0,0.0,USD,USA,Idaho,11 - 20 years,11 - 20 years,Master's degree,Female,White
45-54,"Accounting, Banking & Finance",Assistant State Auditor,59527.0,1000.0,USD,USA,Washington,31 - 40 years,5-7 years,College degree,Male,White
25-34,Insurance,Product Manager,84000.0,8000.0,USD,USA,Illinois,5-7 years,2 - 4 years,College degree,Female,White
25-34,Transport or Logistics,Planning Assistant,21800.0,0.0,GBP,England,Outside of the US,5-7 years,1 year or less,Master's degree,Female,White
65 or over,Government and Public Administration,Attorney,165000.0,2000.0,USD,USA,District of Columbia,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)",Male,White
25-34,Government and Public Administration,Staff attorney,83000.0,0.0,USD,USA,Minnesota,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Female,White
25-34,Retail,"Senior Manager, Credit Finance ",95000.0,8550.0,USD,USA,Ohio,8 - 10 years,8 - 10 years,Master's degree,Female,White
35-44,Retail,Data Analyst,31200.0,0.0,USD,USA,New Jersey,11 - 20 years,11 - 20 years,College degree,Female,White
55-64,Education (Higher Education),Universety lecturer,504000.0,0.0,SEK,Sweden,Outside of the US,31 - 40 years,31 - 40 years,Master's degree,Female,White
25-34,Law,Office Manager,51847.0,9000.0,USD,USA,Minnesota,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Business or Consulting,Chief Operations Officer,100000.0,0.0,USD,USA,Maine,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Senior Compliance Analyst,74000.0,1000.0,USD,USA,Connecticut,5-7 years,5-7 years,College degree,Female,White
25-34,Health care,Client Billing Specialist Team Lead,37000.0,1600.0,USD,USA,Texas,11 - 20 years,5-7 years,College degree,Female,White
45-54,Computing or Tech,Senior IT Project Manager,110000.0,0.0,USD,USA,Washington,21 - 30 years,11 - 20 years,Master's degree,Female,White
35-44,Education (Higher Education),Office Manager,59826.0,0.0,USD,USA,Maryland,8 - 10 years,2 - 4 years,College degree,Female,White
35-44,Nonprofits,Senior Project Manager/Evaluation Specialist,92000.0,0.0,USD,USA,New York,8 - 10 years,8 - 10 years,PhD,Female,White
35-44,religious educator,Director of Lifespan Faith Development,31200.0,0.0,USD,USA,Idaho,21 - 30 years,8 - 10 years,College degree,Female,White
25-34,Computing or Tech,Sales Operations Manager,77800.0,3890.0,USD,USA,Oregon,8 - 10 years,5-7 years,College degree,Female,White
45-54,Education (Higher Education),Research Manager,70800.0,0.0,USD,USA,California,21 - 30 years,11 - 20 years,PhD,Female,White
45-54,Transport or Logistics,HR Manager,51000.0,4500.0,GBP,England,Outside of the US,21 - 30 years,11 - 20 years,Master's degree,Female,White
35-44,Transport or Logistics,Director of Finance,97760.0,0.0,USD,USA,California,5-7 years,5-7 years,High School,Female,White
45-54,Nonprofits,Strategic Communications Director,117000.0,0.0,USD,USA,Pennsylvania,31 - 40 years,31 - 40 years,Master's degree,Female,White
25-34,Nonprofits,Director,74000.0,0.0,USD,USA,Michigan,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Information services (libraries),Head of Cataloging,67231.0,500.0,USD,USA,Texas,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Accountant,79600.0,10000.0,USD,USA,Virginia,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,Business or Consulting,Vice President and Policy Director,124000.0,0.0,USD,USA,District of Columbia,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Sales,Senior Applications / Inside Sales,60000.0,5000.0,USD,USA,California,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,"Marketing, Advertising & PR",eCommerce Marketing Director,94000.0,15000.0,USD,USA,Colorado,8 - 10 years,2 - 4 years,Master's degree,Female,"Hispanic, Latino, or Spanish origin"
25-34,Agriculture or Forestry,Seasonal Wildlife Biologist,39520.0,6000.0,USD,USA,Wyoming,11 - 20 years,8 - 10 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",Senior trust associate,98000.0,8000.0,USD,USA,California,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Education (Primary/Secondary),Special Education Teacher,68000.0,0.0,USD,USA,Minnesota,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,"Marketing, Advertising & PR",Social Media Strategist,52500.0,0.0,USD,USA,Pennsylvania,11 - 20 years,8 - 10 years,College degree,Female,White
45-54,Education (Higher Education),Librarian ,98500.0,7000.0,USD,USA,Michigan,21 - 30 years,21 - 30 years,College degree,Female,White
45-54,"Accounting, Banking & Finance",Auditor,113600.0,2500.0,USD,USA,Alaska,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Corporate Sustainability ,Senior Sustainability Analyst,110000.0,5000.0,USD,USA,Maryland,5-7 years,5-7 years,Master's degree,Female,White
25-34,Engineering or Manufacturing,Lab Manager,121000.0,36000.0,USD,USA,Minnesota,11 - 20 years,11 - 20 years,Master's degree,Male,White
45-54,Health care,Pharmacy Technician,72000.0,17000.0,USD,USA,New York,21 - 30 years,21 - 30 years,Some college,Female,White
25-34,Environmental Planning,Environmental Project Manager,77500.0,3000.0,USD,USA,California,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Government and Public Administration,Emergency Management Specialist,103690.0,5000.0,USD,USA,District of Columbia,5-7 years,5-7 years,Master's degree,Female,White
35-44,Health care,Nurse,68000.0,2000.0,USD,USA,Arizona,11 - 20 years,2 - 4 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
18-24,Nonprofits,System administration and project manager,240000.0,20000.0,ZAR,Argentina,Outside of the US,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,Ministry,Pastor,59750.0,12442.0,USD,USA,Massachusetts,5-7 years,2 - 4 years,Master's degree,Female,White
25-34,"Marketing, Advertising & PR",Senior Account Director,98000.0,10000.0,USD,USA,Nevada,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Computing or Tech,Senior Staff Privacy Engineer,260000.0,350000.0,USD,USA,California,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",Machine learning model developer,135000.0,5000.0,CHF,Argentina,Outside of the US,8 - 10 years,2 - 4 years,PhD,Female,White
25-34,"Marketing, Advertising & PR",Account Supervisor- PR,70000.0,5000.0,USD,USA,Wisconsin,8 - 10 years,5-7 years,College degree,Female,White
55-64,"Accounting, Banking & Finance",Senior Accountant,80000.0,8000.0,USD,USA,Colorado,21 - 30 years,21 - 30 years,Master's degree,Female,White
25-34,Computing or Tech,Senior Data Specialist,45500.0,1000.0,EUR,Belgium,Outside of the US,2 - 4 years,2 - 4 years,Master's degree,Female,White
25-34,Utilities & Telecommunications,HR Project Manager,57000.0,15000.0,USD,USA,Missouri,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Social Work,Supervising Care Manager,78000.0,0.0,USD,USA,California,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,"Marketing, Advertising & PR",Project Manager,57500.0,1000.0,USD,USA,Nevada,5-7 years,2 - 4 years,Some college,Female,White
35-44,Engineering or Manufacturing,Senior Business Systems Analyst,105000.0,6000.0,USD,USA,Ohio,11 - 20 years,8 - 10 years,College degree,Female,White
35-44,Computing or Tech,Senior Software Engineer,115000.0,0.0,USD,USA,Missouri,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,Education (Higher Education),Director of Administration for [academic dept],75000.0,0.0,USD,USA,Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Funeral Service ,Admin Assistant ,33280.0,200.0,USD,USA,California,8 - 10 years,5-7 years,Some college,Female,White
25-34,Retail,Sales Associate ,23920.0,100.0,USD,USA,Texas,5-7 years,5-7 years,College degree,Female,White
35-44,Nonprofits,Social Media Specialist,44000.0,200.0,USD,USA,District of Columbia,21 - 30 years,5-7 years,Master's degree,Female,White
35-44,Nonprofits,Senior Librarian 1A,56999.0,0.0,USD,USA,New York,8 - 10 years,8 - 10 years,Master's degree,Female,"Asian or Asian American, White"
25-34,Recruitment or HR,HR Manager,95000.0,12000.0,USD,USA,California,8 - 10 years,8 - 10 years,College degree,Female,Another option not listed here or prefer not to answer
25-34,Transport or Logistics,Continuous Improvement Manager,80000.0,20000.0,USD,USA,Illinois,5-7 years,2 - 4 years,College degree,Male,White
25-34,Law,Associate Attorneu,108000.0,7000.0,USD,USA,Colorado,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Female,White
25-34,Education (Higher Education),Assistant Professor (English Dept.),56000.0,300.0,USD,USA,Oklahoma,11 - 20 years,8 - 10 years,PhD,Female,White
25-34,Law,Technical Advisor,135000.0,6000.0,USD,USA,District of Columbia,1 year or less,1 year or less,PhD,Female,White
35-44,Computing or Tech,Program Manager,130000.0,20000.0,USD,USA,Colorado,21 - 30 years,8 - 10 years,College degree,Female,White
35-44,Engineering or Manufacturing,Principal Engineer,185000.0,11000.0,USD,USA,California,11 - 20 years,11 - 20 years,PhD,Female,White
25-34,Computing or Tech,Electrical Engineer,140000.0,20000.0,USD,USA,Texas,8 - 10 years,8 - 10 years,College degree,Female,Asian or Asian American
45-54,Public Libraries,"Manager, [Department Name]",120000.0,0.0,CAD,Canada,Outside of the US,21 - 30 years,21 - 30 years,Master's degree,Female,White
35-44,Government and Public Administration,Office Manager ,35360.0,2000.0,USD,USA,Maine,11 - 20 years,8 - 10 years,College degree,Female,White
45-54,Government and Public Administration,Senior analyst,108000.0,10000.0,CAD,Canada,Outside of the US,11 - 20 years,11 - 20 years,Master's degree,Female,"Black or African American, Native American or Alaska Native, White"
25-34,Education (Primary/Secondary),K-4 Science Teacher,89000.0,0.0,USD,USA,New York,8 - 10 years,8 - 10 years,Master's degree,Female,"Hispanic, Latino, or Spanish origin, White"
25-34,"Marketing, Advertising & PR",Digital Marketing Specialist,65000.0,150.0,USD,USA,Virginia,11 - 20 years,8 - 10 years,College degree,Female,White
25-34,Law,Real Estate Law Clerk,65000.0,5000.0,CAD,Canada,Outside of the US,5-7 years,5-7 years,College degree,Female,White
25-34,Government and Public Administration,Public Health Analyst,87000.0,150.0,USD,USA,Maryland,5-7 years,2 - 4 years,Master's degree,Female,White
25-34,Publishing,Acquisitions Editor,66000.0,6000.0,USD,USA,Massachusetts,5-7 years,5-7 years,College degree,Female,Asian or Asian American
65 or over,Health care,Nurse Practitioner,130000.0,6500.0,USD,USA,California,41 years or more,41 years or more,Master's degree,Female,White
35-44,Engineering or Manufacturing,Recruiting Enablement,75000.0,5000.0,USD,USA,Missouri,11 - 20 years,8 - 10 years,Master's degree,Female,White
25-34,Education (Higher Education),Assistant Librarian,56000.0,0.0,USD,USA,Arizona,8 - 10 years,5-7 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Senior Financial Analyst,85000.0,15000.0,USD,USA,Tennessee,8 - 10 years,8 - 10 years,College degree,Female,White
45-54,Government and Public Administration,Research Director,108000.0,0.0,USD,USA,New York,21 - 30 years,11 - 20 years,PhD,Female,White
35-44,Public Library,Assistant Community Library Manager,61000.0,0.0,USD,USA,New York,21 - 30 years,5-7 years,Master's degree,Female,White
55-64,Education (Higher Education),Adjunct ESOL Instructor,45000.0,0.0,USD,USA,North Carolina,21 - 30 years,21 - 30 years,Master's degree,Female,White
35-44,Nonprofits,Operations and Administration Manager,51750.0,700.0,USD,USA,Michigan,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Recruitment or HR,Supervisor,58240.0,8000.0,USD,USA,California,2 - 4 years,2 - 4 years,College degree,Female,"Asian or Asian American, White"
25-34,"Marketing, Advertising & PR",Staff Writer,65000.0,1000.0,USD,USA,Massachusetts,8 - 10 years,5-7 years,College degree,Male,White
35-44,Education (Higher Education),Library Supervisor,37500.0,0.0,USD,USA,Ohio,11 - 20 years,11 - 20 years,Master's degree,Female,Asian or Asian American
55-64,Computing or Tech,Data Manager,102000.0,0.0,USD,USA,Washington,41 years or more,31 - 40 years,Master's degree,Male,White
25-34,Education (Higher Education),Librarian,52275.0,0.0,USD,USA,Florida,8 - 10 years,8 - 10 years,Master's degree,Male,"Hispanic, Latino, or Spanish origin, White"
25-34,Business or Consulting,Executive Assistant,56000.0,5000.0,USD,USA,Colorado,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,Print / Mail,Programmer,87000.0,500.0,USD,USA,North Carolina,11 - 20 years,11 - 20 years,College degree,Male,White
18-24,Computing or Tech,Software Engineer,80000.0,10000.0,USD,USA,New Jersey,2 - 4 years,2 - 4 years,College degree,Male,White
35-44,Business or Consulting,Senior Editor,76668.0,3000.0,USD,USA,California,8 - 10 years,5-7 years,Master's degree,Female,White
35-44,"Marketing, Advertising & PR",specialist,13520.0,0.0,USD,USA,Ohio,11 - 20 years,1 year or less,College degree,Female,White
25-34,Education (Higher Education),Recording secretary ,45700.0,0.0,USD,USA,Ohio,2 - 4 years,1 year or less,College degree,Female,White
35-44,Education (Higher Education),Research Assistant Professor,75000.0,0.0,USD,USA,Massachusetts,5-7 years,5-7 years,PhD,Female,White
25-34,Engineering or Manufacturing,Senior Hardware Lifecycle Manager II,140000.0,0.0,USD,USA,California,8 - 10 years,8 - 10 years,College degree,Female,Another option not listed here or prefer not to answer
35-44,Insurance,Data Analyst,84000.0,8000.0,USD,USA,Wisconsin,11 - 20 years,2 - 4 years,Master's degree,Female,White
35-44,Social Work,Clinical Supervisor,72000.0,0.0,USD,USA,New York,8 - 10 years,8 - 10 years,Master's degree,Female,White
35-44,Government and Public Administration,"Manager, Stakeholder Engagement",92000.0,0.0,CAD,Canada,Outside of the US,11 - 20 years,2 - 4 years,Master's degree,Female,White
35-44,Law,District Defender,101985.0,0.0,USD,USA,New Mexico,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Computing or Tech,Product Owner,99000.0,1500.0,USD,USA,New Jersey,11 - 20 years,5-7 years,Master's degree,Female,White
25-34,Government and Public Administration,Systems Librarian,110000.0,0.0,USD,USA,Washington,8 - 10 years,5-7 years,Master's degree,Female,White
35-44,"Marketing, Advertising & PR",Communications Manager,123000.0,12000.0,USD,USA,Illinois,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Nonprofits,Program Manager,54540.0,0.0,USD,USA,District of Columbia,8 - 10 years,5-7 years,College degree,Female,White
25-34,Retail,Inventory lead/floor lead,28000.0,2000.0,USD,USA,Oregon,5-7 years,2 - 4 years,College degree,Female,"Hispanic, Latino, or Spanish origin, White"
25-34,Education (Higher Education),Assistant Director,64575.0,0.0,USD,USA,New York,8 - 10 years,8 - 10 years,Master's degree,Male,White
25-34,Hospitality & Events,"Director, Executive Communications",128125.0,42281.0,USD,USA,Virginia,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Art & Design,Interior Designer,62000.0,13000.0,CAD,Canada,Outside of the US,11 - 20 years,8 - 10 years,College degree,Female,White
55-64,Nonprofits,Office Coordinator,33280.0,0.0,USD,USA,Minnesota,21 - 30 years,11 - 20 years,College degree,Female,White
25-34,Computing or Tech,Taxonomy Manager,118000.0,32000.0,USD,USA,Washington,11 - 20 years,5-7 years,Master's degree,Female,White
45-54,real estate,accounting specialist,40000.0,0.0,USD,USA,Virginia,21 - 30 years,11 - 20 years,College degree,Female,White
25-34,Nonprofits,Marketing and Business Development Manager,90000.0,0.0,USD,USA,Virginia,8 - 10 years,5-7 years,Master's degree,Female,White
35-44,Computing or Tech,Senior Customer Success Manager,135000.0,20000.0,USD,USA,Georgia,11 - 20 years,2 - 4 years,Master's degree,Female,White
35-44,Engineering or Manufacturing,Senior Research Scientist,114000.0,4000.0,USD,USA,New Jersey,11 - 20 years,8 - 10 years,PhD,Female,White
35-44,Computing or Tech,Senior Developer,123000.0,13000.0,USD,USA,Pennsylvania,11 - 20 years,11 - 20 years,Master's degree,Male,White
35-44,"Accounting, Banking & Finance",Assistant Secretary ,27500.0,300.0,GBP,England,Outside of the US,11 - 20 years,5-7 years,College degree,Female,White
35-44,Education (Higher Education),Faculty Manager - Professional Qualifications,56850.0,9000.0,GBP,England,Outside of the US,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Patent translation,Freelance translator,52500.0,0.0,CAD,Canada,Outside of the US,11 - 20 years,8 - 10 years,College degree,Female,White
35-44,Health care,Registered Nurse/Clinical Research Coordinator,52000.0,4000.0,USD,USA,New York,11 - 20 years,5-7 years,Master's degree,Male,White
35-44,Law,Senior corporate councel,114373.0,16156.0,USD,USA,Utah,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,White
25-34,Education (Higher Education),Research Compliance Specialist,53000.0,0.0,USD,USA,Wisconsin,8 - 10 years,1 year or less,PhD,Other or prefer not to answer,White
25-34,Computing or Tech,Camera Hardware Engineer,165000.0,50000.0,USD,USA,California,5-7 years,31 - 40 years,PhD,Male,White
35-44,Education (Higher Education),Associate Director of Admissions,107000.0,9000.0,USD,USA,Illinois,11 - 20 years,11 - 20 years,Master's degree,Male,White
18-24,Government and Public Administration,Disability Analyst,34859.0,0.0,USD,USA,North Carolina,2 - 4 years,1 year or less,Master's degree,Female,White
45-54,Engineering or Manufacturing,tech,64000.0,0.0,EUR,Ireland,Outside of the US,21 - 30 years,21 - 30 years,College degree,Female,White
25-34,Insurance,Product Owner,128000.0,17000.0,USD,USA,North Carolina,8 - 10 years,2 - 4 years,Master's degree,Female,White
35-44,apparel design/product development ,Apparel Technical Designer,52000.0,100.0,USD,USA,Virginia,5-7 years,5-7 years,College degree,Female,White
